id,day,time,type,title,description,panel,type_en,title_en,description_en
d10-welcome,10,08:30,Apertura,Recepción y  apertura del seminario,"Acreditación, bienvenida institucional y presentación de objetivos.",null,Opening,Reception and Seminar Opening,"Accreditation, institutional welcome and presentation of objectives."
d13-close,13,12:40,Conferencia de clausura,Conclusiones y clausura institucional,TBD · Mando Conjunto del Ciberespacio.,null,Closing lecture,Conclusions and institutional closing,TBD · Joint Cyberspace Command.
d11-gt,11,08:45,Grupos de trabajo.,Sesiones de análisis y elaboración de conclusiones,Continuación de los grupos con representantes del Ministerio de Defensa y aliados OTAN.,null,Working groups,Analysis sessions and development of conclusions,Continuation of the groups with representatives of the Ministry of Defence and NATO allies.
d12-p2,12,11:00,Panel 2,"Computación, conectividad y ciberdefensa post-cuántica","Industria, CESTIC y especialistas en tecnologías de nueva generación.",2,Panel 2,"Computing, connectivity and post-quantum cyber defence","Industry, CESTIC and next-generation technology specialists."
d10-gt1,09:30,10:00,Grupo de trabajo  1,Gobierno y rewiring de las organizaciones,Adaptación organizativa y cultural al dominio ciberespacial y a la IA. Director: TBD,null,Working group 1,Governance and organisational rewiring,Organisational and cultural adaptation to the cyberspace domain and AI. Lead: TBD
d10-gt2,10,11:00,Grupo de trabajo 2,Cultura y talento: habilitar al aviador,"Cultura organizacional, algoritmo de combate, reskilling y upskilling.",null,Working group 2,Culture and talent: enabling the airman,"Organisational culture, the combat algorithm, reskilling and upskilling."
d11-close,11,11:00,Síntesis,Sesión Plenaria del Grupo de Trabajo,Preparación de conclusiones para informe a los paneles,null,Synthesis,Working group plenary,Consolidation of findings to inform the round tables.
d12-p1,12,09:10,Panel 1,"Ciberespacio y la transición al combate algorítmico ","Dirección: TBD, Air Staff",1,Panel 1,Cyberspace and the transition to algorithmic warfare,"Lead: TBD, Air Staff"
d13-p3,12,12:40,Panel 3,"El reto de la cultura, organización y talento",Dirección: TBD · GJSTCIBER.,3,Panel 3,"The challenge of culture, organisation and talent",Lead: TBD · GJSTCIBER.
d13-p4,13,08:00,Panel 4,Las ciberoperaciones en los conflictos actuales,Dirección: especialista del Mando Conjunto del Ciberespacio. MCCE,4,Panel 4,Cyber operations in current conflicts,Lead: specialist from the Joint Cyberspace Command. MCCE
d13-p5,13,09:40,Panel 5,"Transformación, gobernanza e interoperabilidad","CESTIC, EMA/SEGE y representantes de países OTAN.",5,Panel 5,"Transformation, governance and interoperability","CESTIC, EMA/SEGE and representatives from NATO nations."
